bootstrap_iteration,mean_dice,mean_iou,mean_precision,mean_recall,mean_specificity,detection_rate
1,0.4593958316243531,0.3641847564035535,0.45639310160982743,0.5555732396828077,0.9997878470428001,0.72920892494929
2,0.4453530100034986,0.3561106335948506,0.4220365080408261,0.5743914852177712,0.9998001195484266,0.7042001787310098
3,0.44757292136791865,0.3549381046893162,0.4399717466493769,0.5512926022569523,0.9997361390594118,0.7176141658900279
4,0.41376785880044464,0.3223589675580158,0.3925890435057218,0.5498737678453307,0.9997921280225374,0.6990084985835694
5,0.5082428785855415,0.4133300671768268,0.4981138873231239,0.6036486354461361,0.9998237527995109,0.7767695099818511
6,0.42349029226010126,0.33264090982643896,0.41315225859302257,0.5376523486933882,0.9998171599688512,0.7022900763358778
7,0.43917229655166956,0.34850417694564517,0.43279370558799535,0.5559074282067571,0.9997904098596821,0.7369769427839453
8,0.41953394524594767,0.326861300919997,0.4095427136046836,0.5369160993275669,0.9998052838990416,0.7174629324546952
9,0.4284728534339156,0.33231469788682844,0.4124371421614871,0.5736498372651118,0.9998052375294056,0.7376283846872083
10,0.4029106964220238,0.31684012535424394,0.3997227881118785,0.5149952418030747,0.999822679642075,0.6916666666666667
11,0.4526597869024298,0.3613155455774469,0.46078530577160204,0.5294480852761546,0.9997978034409112,0.7141560798548094
12,0.47693275535641705,0.3759380461976928,0.45717177092507316,0.6049681453283592,0.9997616497478733,0.7585601404741001
13,0.4506577945726363,0.35825503432297245,0.43931574532771145,0.5601618298981966,0.9997782409087683,0.7300448430493274
14,0.3986141601301662,0.3080973298260873,0.3900244986122087,0.512503557383097,0.9997940141590334,0.6899280575539568
15,0.4732232644309334,0.37767145726805207,0.45415384059068453,0.5841031618827505,0.9997955855386339,0.7539130434782608
16,0.3930717032240148,0.307002365189027,0.38053381176925644,0.49830758482568993,0.9998105732826048,0.6578947368421053
17,0.4219046533074754,0.3288999956386453,0.4098178095526252,0.5359305466148813,0.999800789643493,0.7079847908745247
18,0.448427258784604,0.3495432900158964,0.4377934620363841,0.568353561099188,0.9997962769056716,0.7440677966101695
19,0.42103294410750264,0.3301282511995467,0.41085756855569,0.5283711642973603,0.9997944766296606,0.6871794871794872
20,0.4130203254292706,0.3268708569201002,0.41684895019217283,0.49919386398611987,0.9997923125717821,0.6723842195540308
21,0.43844131940233017,0.3485027019532016,0.4318782560100147,0.5418355233261868,0.9997959714397754,0.7118353344768439
22,0.47050057191621786,0.37633367109324006,0.45650416956773965,0.5771099468786727,0.9997740573861301,0.7434017595307918
23,0.390024816513163,0.3014408007234546,0.4004690285910898,0.4878566336041725,0.999788489498997,0.6998087954110899
24,0.42188539889567894,0.3259820554342516,0.4181486582139116,0.5540715537396868,0.9997984334123171,0.732824427480916
25,0.4414245843112034,0.3513708156244204,0.43621006981378874,0.5302475030544409,0.9998025280962557,0.7057808455565142
26,0.42718585511452756,0.3398502317829267,0.43790102116317553,0.5162311425418952,0.9997823717851758,0.7087967644084934
27,0.5012842966858596,0.40821395001327,0.5091887210424009,0.566123396897994,0.9998071545254201,0.7391304347826086
28,0.4074485102727573,0.31873063938034274,0.4013967945519453,0.5059403665721378,0.9997857981523008,0.6767676767676768
29,0.4814031239309124,0.38489844178575283,0.4704005966565178,0.5899223444443207,0.9998225277339,0.7557251908396947
30,0.45645588947170807,0.3605627202318625,0.43641678081182944,0.5877598477470027,0.9997619563504636,0.7469879518072289
31,0.4588581458443975,0.3650751561483134,0.46931551847307174,0.5437769575988631,0.9997921661687725,0.7504317789291882
32,0.49008972955800256,0.3882670476752723,0.48115430013009547,0.5956551287299124,0.9997652850620763,0.7705053852526926
33,0.4391152414725652,0.3493476065800251,0.4346686757204982,0.526260543185774,0.9997672394926131,0.6997026759167493
34,0.45501363786045973,0.35925886738597906,0.45470936777359183,0.5595047126294244,0.9998090327109271,0.7487684729064039
35,0.4077728933876123,0.31328510889039196,0.38213253249649937,0.5567666969461926,0.9997995234257712,0.706
36,0.41906819727120653,0.3364854626239526,0.423968536372372,0.5035462514109085,0.9997995034711985,0.6684961580680571
37,0.4423734421220876,0.3551806611490571,0.4489051866916878,0.5377122664199613,0.9997963499212863,0.7203619909502262
38,0.4314757129891821,0.34063525718526866,0.432329556431572,0.5206266552896921,0.9998122576723039,0.7060301507537688
39,0.49090021747634166,0.39516776002378917,0.4789472432958518,0.5861797197527603,0.9997697656373531,0.7543323139653415
40,0.4496187929909281,0.3549363328417972,0.4476966721457221,0.5648853009973657,0.9998013640104209,0.7452402538531279
41,0.4209202704965877,0.3272763017534932,0.4134782360179656,0.533448845548736,0.9997883962817355,0.7012448132780082
42,0.48467939154775674,0.38529419231317047,0.4758403695606625,0.5949024095350979,0.9997785952566074,0.7690355329949239
43,0.4681487328574424,0.3742290010007475,0.4498853678471436,0.5875128748296303,0.9997691580949241,0.7434456928838952
44,0.44331634794230973,0.34700800791163144,0.4574485675432353,0.5340551546975246,0.9997995353309869,0.7298534798534798
45,0.45114558459473303,0.3578542459619068,0.45665766782841355,0.5557732021045477,0.9998114314749353,0.7472727272727273
46,0.42106934126963735,0.32793411895336133,0.4296811476324256,0.518026016716436,0.9997935688609967,0.7135826771653543
47,0.42757438368304385,0.33570242445387877,0.421625758636351,0.5350734003924713,0.999773530826969,0.7195004803073968
48,0.47285498243140767,0.3780752646147984,0.46165125556103187,0.5883509284723556,0.99978219834165,0.7524271844660194
49,0.46080305058329274,0.36753358785480106,0.44660573572748297,0.5670237331681764,0.9997770752118008,0.7311072056239016
50,0.402996427189322,0.3160129829554057,0.40472642933879605,0.4971502326876771,0.999800905922613,0.6807473598700243
51,0.4376948565097865,0.34412509938597924,0.42036365930432235,0.5621770073650051,0.9998024692082256,0.724390243902439
52,0.43232272164448193,0.3372420355467977,0.41011967648118647,0.5636266204996722,0.9998072237305207,0.7142857142857143
53,0.44868048296101537,0.3496388479233233,0.4372177281244443,0.574729533304797,0.9998030769156997,0.7563451776649747
54,0.4567299894034691,0.3619354362673854,0.44857640670141347,0.5633253727565567,0.9997990106542471,0.7461187214611872
55,0.459170337841815,0.3613179454877001,0.45409907349253525,0.5678347060044744,0.9997937113212855,0.7596390484003281
56,0.46725660532577334,0.3728980322439917,0.46272778540115944,0.561707780830144,0.9997968202048275,0.737384140061792
57,0.423426687535315,0.32703331514896217,0.40447070194760576,0.5554243856793284,0.9997982340524695,0.7187214611872146
58,0.47122535015754513,0.37716216071792563,0.4556920346655375,0.5959062330586886,0.9997881228724855,0.7705223880597015
59,0.41076235253934273,0.3150978303213757,0.4064271084307052,0.5315177465214626,0.9997870597328855,0.7154115586690017
60,0.4484412641117128,0.36190481324287127,0.44269591558298643,0.5332417747008498,0.999774529917944,0.7082670906200318
61,0.43656511727801944,0.343359338555417,0.41439527096815604,0.5557995845950429,0.999807050459149,0.7084468664850136
62,0.4258232920792398,0.33315834380159914,0.4125840561835212,0.526385308463827,0.9997886046663137,0.6985894580549369
63,0.4188212910723193,0.3337037677515151,0.4236540536332741,0.5074636696520709,0.9998033491869428,0.6887550200803213
64,0.4486616777976452,0.35735981338885403,0.45006308235324005,0.5392315681923471,0.9997951515240857,0.7228464419475655
65,0.414595241860487,0.3212744706459871,0.3922551915754183,0.5638771698182626,0.9997809359326887,0.7247311827956989
66,0.4200740862630212,0.3336109848583619,0.39953247014542276,0.5170928433192032,0.9998291164145773,0.6646464646464646
67,0.3746387584567394,0.2902691947650588,0.3634706150507667,0.4819912784350715,0.999812748311624,0.6306390977443609
68,0.428162379411274,0.3328874474861949,0.42712903283380965,0.5474474018150982,0.9997995506701922,0.723018147086915
69,0.4589367549855414,0.3659648287675645,0.4497828795045171,0.5597794596990814,0.9998278553893077,0.7311557788944724
70,0.4887941440718658,0.39073360104037214,0.46597480329676194,0.6065343740446484,0.9997697830724368,0.7712418300653595
71,0.4050564170268311,0.31421450253709676,0.4059375547203684,0.49915793062531566,0.999784596662416,0.676737160120846
72,0.44023549245722743,0.3447408183992221,0.4388359103979917,0.5383175793116393,0.9997762119340654,0.724025974025974
73,0.41561325344941147,0.32403205689383424,0.4029540474309959,0.543200186711113,0.9997823022507041,0.6955631399317406
74,0.41992911084065426,0.3243710141506579,0.41517930211884385,0.5331823351519128,0.9998004681237228,0.7241379310344828
75,0.4276364855164211,0.33953958487908475,0.4199520226080305,0.5275934270089713,0.9998011491496673,0.6900630914826499
76,0.4685166507967296,0.374390521818755,0.45492729521353387,0.5975755404633741,0.999764076860625,0.7617675312199808
77,0.42723122964879273,0.3383635749070552,0.4261417148018304,0.514496569236444,0.9998158675606518,0.6893464637421666
78,0.4639264393907376,0.36843986834484554,0.4609367876289428,0.5571006421095955,0.999783206269997,0.7525298988040479
79,0.4300782322209627,0.33966540696661857,0.4258838434092876,0.5227714939113519,0.9997825589063728,0.7017841971112999
80,0.416022269882047,0.32741117102809153,0.416573054362812,0.5109144989976511,0.999814199667028,0.6934749620637329
81,0.4800429055053949,0.38049963292787037,0.46252677163333666,0.5972840051955722,0.9997793802524023,0.7638238050609185
82,0.4436530953050167,0.35774203913439,0.4313983791381073,0.5377914145822406,0.9997998452895381,0.6923076923076923
83,0.45571139514794623,0.36098217509962655,0.4440874006761379,0.5699134052540311,0.9997963116774358,0.737419945105215
84,0.4849388366147569,0.38591106311873086,0.47398667541476985,0.5892725464603273,0.9997672147965246,0.7627952755905512
85,0.4757488374199086,0.37768498783036386,0.46261926549404353,0.6001623256375058,0.999761246972996,0.7643564356435644
86,0.46222730265189904,0.3663470807501506,0.44403130685482534,0.5940827885217114,0.9997974041954424,0.7543713572023314
87,0.4573555159864361,0.36858569589618084,0.45808778918147974,0.542519432629129,0.9997864145619914,0.7135593220338983
88,0.45710863552210074,0.3648112926105533,0.4364706932538148,0.5802688050424676,0.9997950350546922,0.7323481116584565
89,0.4432403353508836,0.3545117749527593,0.4358555104024827,0.5422353748450888,0.9997896929643355,0.7054924242424242
90,0.4687616642747138,0.3699208886251976,0.4411834327891111,0.6136700656518331,0.9998007950073511,0.7631160572337043
91,0.3915739835740065,0.3079607457467209,0.3996945030274107,0.477674454115644,0.9997934351551054,0.6588037068239259
92,0.427477776997232,0.34282473723175166,0.44610653551668816,0.48478130800392094,0.9998273263597306,0.6908023483365949
93,0.44122974860143677,0.34844884322559494,0.438742146087756,0.5297725998464833,0.9997601814756728,0.7101038715769594
94,0.4476386097319283,0.3479675689983111,0.45684146337418696,0.5500595874512526,0.9997613540168561,0.7379110251450677
95,0.4089763604079017,0.31935882052561415,0.4017615763219811,0.5150295396095735,0.99980219866818,0.6787216148023549
